公園番号,公園名称,ｶﾅ公園名称,公園種別,所在地,所管名,支所名,校区名,開設面積（ha）
400-255,南花田あねもね公園,ﾐﾅﾐﾊﾅﾀﾞﾞｱﾈﾓﾈｺｳｴﾝ,広場,北区南花田町１０６－１９,大浜,北,北八下,0.02
400-256,金岡町おしどり公園,ｶﾅｵｶﾁｮｳｵｼﾄﾞﾘｺｳｴﾝ,広場,北区金岡町９８０－１５,大浜,北,金岡,0.03
400-257,出島町しじゅうから公園,ﾃﾞｼﾞﾏﾁｮｳｼｼﾞｭｳｶﾗｺｳｴﾝ,広場,堺区出島町２丁１８９－１０７,大浜,堺,新湊,0.01
400-258,鳳北町第１公園,ｵｵﾄﾘｷﾀﾏﾁﾀﾞｲ1ｺｳｴﾝ,街区,西区鳳北町７丁９６,大浜,西,鳳,0.32
400-259,協和町第３公園,ｷｮｳﾜﾁｮｳﾀﾞｲ3ｺｳｴﾝ,街区,堺区協和町２丁７２,大浜,堺,大仙西,0.15
400-260,協和町第７公園,ｷｮｳﾜﾁｮｳﾀﾞｲ7ｺｳｴﾝ,街区,堺区協和町３丁１４７－２,大浜,堺,大仙西,0.48
400-261,築港浜寺西町公園,ﾁｯｺｳﾊﾏﾃﾞﾗﾆｼﾏﾁｺｳｴﾝ,街区,西区築港浜寺西町２０,大浜,西,浜寺昭和,0.36
400-262,出島町ひなげし公園,ﾃﾞｼﾞﾏﾁｮｳﾋﾅｹﾞｼｺｳｴﾝ,街区,堺区出島町２丁１８９－９９,大浜,堺,新湊,0.10
400-263,辻之いととんぼ緑地,ﾂｼﾞﾉｲﾄﾄﾝﾎﾞﾘｮｸﾁ,都市緑地,中区田園４６１－１１,原池,中,西陶器,0.07
400-264,辻之もんしろちょう公園,ﾂｼﾞﾉﾓﾝｼﾛﾁｮｳｺｳｴﾝ,幼児,中区辻之７４６－３１,原池,中,西陶器,0.05
400-265,深井中町むくどり公園,ﾌｶｲﾅｶﾏﾁﾑｸﾄﾞﾘｺｳｴﾝ,広場,中区深井中町１４０５－１７,原池,中,深井,0.01
400-266,田園ゆうかり緑道,ﾀｿﾞﾉﾕｳｶﾘﾘｮｸﾄﾞｳ,緑道,中区田園４７７－２９,原池,中,西陶器,0.08
400-267,陶器北こがねむし緑地,ﾄｳｷｷﾀｺｶﾞﾈﾑｼﾘｮｸﾁ,都市緑地,中区陶器北１２２８－４,原池,中,東陶器,0.03
400-268,陶器北かみきりむし緑地,ﾄｳｷｷﾀｶﾐｷﾘﾑｼﾘｮｸﾁ,都市緑地,中区上之１８９－１１,原池,中,東陶器,0.03
400-270,深阪丹の池公園,ﾌｶｻｶﾀﾝﾉｲｹｺｳｴﾝ,街区,中区深阪６丁５３８－１０,原池,中,深阪,0.13
400-271,津久野万年橋緑地,ﾂｸﾉﾏﾝﾈﾝﾊﾞｼﾘｮｸﾁ,都市緑地,西区津久野町３丁２３０２,大浜,西,津久野,0.03
400-272,平岡町あやめ公園,ﾋﾗｵｶﾁｮｳｱﾔﾒｺｳｴﾝ,広場,西区平岡町２５３－９,大浜,西,平岡,0.02
400-273,宮山公園,ﾐﾔﾔﾏｺｳｴﾝ,近隣,南区宮山台２丁１－８,泉ヶ丘,南,宮山台,3.60
400-274,荒山公園,ｺｳｾﾞﾝｺｳｴﾝ,総合,南区宮山台２丁３－１,泉ヶ丘,南,宮山台,17.35
400-275,竹城公園,ﾀｹｼﾛｺｳｴﾝ,近隣,南区竹城台２丁３－１７,泉ヶ丘,南,竹城台,2.59
400-276,三原公園,ﾐﾊﾗｺｳｴﾝ,近隣,南区三原台１丁３－４,泉ヶ丘,南,三原台,2.19
400-277,田園公園,ﾀｿﾞﾉｺｳｴﾝ,近隣,南区三原台１丁３－２,泉ヶ丘,南,三原台,3.41
400-278,高倉公園,ﾀｶｸﾗｺｳｴﾝ,近隣,南区高倉台３丁１９－２,泉ヶ丘,南,高倉台,3.44
400-279,茶山公園,ﾁｬﾔﾏｺｳｴﾝ,近隣,南区茶山台３丁２４－１,泉ヶ丘,南,茶山台,4.39
400-280,大蓮公園,ｵｵﾊｽｺｳｴﾝ,風致,南区若松台１丁１－９,泉ヶ丘,南,若松台,15.46
400-281,晴美公園,ﾊﾙﾐｺｳｴﾝ,近隣,南区晴美台３丁６－２,泉ヶ丘,南,晴美台,5.90
400-282,槇塚公園,ﾏｷﾂﾞｶｺｳｴﾝ,近隣,南区槇塚台１丁９－５,泉ヶ丘,南,槇塚台,3.03
400-283,宮山いるか公園,ﾐﾔﾔﾏｲﾙｶｺｳｴﾝ,街区,南区宮山台４丁４－２,泉ヶ丘,南,宮山台,0.49
400-284,宮山ひつじ公園,ﾐﾔﾔﾏﾋﾂｼﾞｺｳｴﾝ,街区,南区宮山台１丁４－４,泉ヶ丘,南,宮山台,0.27
400-285,竹城となかい公園,ﾀｹｼﾛﾄﾅｶｲｺｳｴﾝ,街区,南区竹城台３丁２－４,泉ヶ丘,南,竹城台,0.38
400-286,竹城のうさぎ公園,ﾀｹｼﾛﾉｳｻｷﾞｺｳｴﾝ,街区,南区竹城台２丁２－２,泉ヶ丘,南,竹城台,0.23
400-287,三原しろくま公園,ﾐﾊﾗｼﾛｸﾏｺｳｴﾝ,街区,南区三原台４丁１９－２,泉ヶ丘,南,三原台,0.54
400-288,三原きりん公園,ﾐﾊﾗｷﾘﾝｺｳｴﾝ,街区,南区三原台３丁３－３,泉ヶ丘,南,三原台,0.28
400-289,高倉いのしし公園,ﾀｶｸﾗｲﾉｼｼｺｳｴﾝ,街区,南区高倉台４丁３８,泉ヶ丘,南,高倉台,0.79
400-290,茶山しまうま公園,ﾁｬﾔﾏｼﾏｳﾏｺｳｴﾝ,街区,南区茶山台２丁１０－２,泉ヶ丘,南,茶山台,0.41
400-291,若松かんがるう公園,ﾜｶﾏﾂｶﾝｶﾞﾙｳｺｳｴﾝ,街区,南区若松台３丁５－２５,泉ヶ丘,南,若松台,0.27
400-292,晴美くろうし公園,ﾊﾙﾐｸﾛｳｼｺｳｴﾝ,街区,南区晴美台３丁７,泉ヶ丘,南,晴美台,0.51
400-293,槇塚らくだ公園,ﾏｷﾂﾞｶﾗｸﾀﾞｺｳｴﾝ,街区,南区槇塚台１丁９－２,泉ヶ丘,南,槇塚台,0.39
400-294,槇塚かもしか公園,ﾏｷﾂﾞｶｶﾓｼｶｺｳｴﾝ,街区,南区槇塚台３丁３７－２,泉ヶ丘,南,槇塚台,0.36
