全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,名称_通称,POIコード,外部識別子,外部識別子の値,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等（方書）,緯度,経度,高度の種別,高度の値,電話番号,内線番号,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,車椅子可,車椅子貸出,ツエ貸出,バリアフリートイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬、聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像_ライセンス,備考
401005,000000000537,福岡県北九州市,八児中学校,ヤチゴチュウガッコウ,,,1504,,,401099,0156004,福岡県北九州市八幡西区町上津役西四丁目1-16,福岡県,北九州市,八幡西区町上津役西四丁目,1-16,,33.8194,130.7501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000000536,福岡県北九州市,則松中学校,ノリマツチュウガッコウ,,,1504,,,401099,0124003,福岡県北九州市八幡西区則松三丁目5-1,福岡県,北九州市,八幡西区則松三丁目,5-1,,33.8561,130.7181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000000535,福岡県北九州市,浅川中学校,アサカワチュウガッコウ,,,1504,,,401099,0004002,福岡県北九州市八幡西区浅川学園台二丁目4-1,福岡県,北九州市,八幡西区浅川学園台二丁目,4-1,,33.8823,130.7077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000000534,福岡県北九州市,千代中学校,チヨチュウガッコウ,,,1504,,,401099,0103002,福岡県北九州市八幡西区千代二丁目1-23,福岡県,北九州市,八幡西区千代二丁目,1-23,,33.8063,130.7432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000000533,福岡県北九州市,折尾中学校,オリオチュウガッコウ,,,1504,,,401099,0114001,福岡県北九州市八幡西区中須一丁目3-1,福岡県,北九州市,八幡西区中須一丁目,3-1,,33.8668,130.7271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000000532,福岡県北九州市,上津役中学校,コウジャクチュウガッコウ,,,1504,,,401099,0051003,福岡県北九州市八幡西区上上津役三丁目12-1,福岡県,北九州市,八幡西区上上津役三丁目,12-1,,33.8292,130.7556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000000531,福岡県北九州市,黒崎中学校,クロサキチュウガッコウ,,,1504,,,401099,0121001,福岡県北九州市八幡西区西鳴水一丁目1-1,福岡県,北九州市,八幡西区西鳴水一丁目,1-1,,33.8544,130.7678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000000530,福岡県北九州市,香月中学校,カツキチュウガッコウ,,,1504,,,401099,0048005,福岡県北九州市八幡西区香月中央五丁目6-1,福岡県,北九州市,八幡西区香月中央五丁目,6-1,,33.7969,130.7357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000000529,福岡県北九州市,穴生中学校,アノオチュウガッコウ,,,1504,,,401099,0126003,福岡県北九州市八幡西区萩原三丁目6-1,福岡県,北九州市,八幡西区萩原三丁目,6-1,,33.8572,130.7516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000000528,福岡県北九州市,熊西中学校,クマニシチュウガッコウ,,,1504,,,401099,0174000,福岡県北九州市八幡西区山寺町4-1,福岡県,北九州市,八幡西区山寺町,4-1,,33.8622,130.7567,,,,,,,,,,,,8060030,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000000527,福岡県北九州市,沖田中学校,オキタチュウガッコウ,,,1504,,,401099,0044004,福岡県北九州市八幡西区沖田四丁目1-18,福岡県,北九州市,八幡西区沖田四丁目,1-18,,33.8319,130.7411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000000526,福岡県北九州市,永犬丸中学校,エイノマルチュウガッコウ,,,1504,,,401099,0016004,福岡県北九州市八幡西区永犬丸四丁目5-1,福岡県,北九州市,八幡西区永犬丸四丁目,5-1,,33.8429,130.7316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000000525,福岡県北九州市,引野中学校,ヒキノチュウガッコウ,,,1504,,,401099,0148000,福岡県北九州市八幡西区別所町1-14,福岡県,北九州市,八幡西区別所町,1-14,,33.8492,130.7588,,,,,,,,,,,,8060068,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000000524,福岡県北九州市,尾倉中学校,オグラチュウガッコウ,,,1504,,,401081,0019003,福岡県北九州市八幡東区尾倉三丁目10-1,福岡県,北九州市,八幡東区尾倉三丁目,10-1,,33.8622,130.7952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000000523,福岡県北九州市,槻田中学校,ツキダチュウガッコウ,,,1504,,,401081,0064001,福岡県北九州市八幡東区宮の町一丁目5-1,福岡県,北九州市,八幡東区宮の町一丁目,5-1,,33.8614,130.8328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000000522,福岡県北九州市,中央中学校,チュウオウチュウガッコウ,,,1504,,,401081,0040003,福岡県北九州市八幡東区中央三丁目9-2,福岡県,北九州市,八幡東区中央三丁目,9-2,,33.8668,130.8139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000000521,福岡県北九州市,大蔵中学校,オオクラチュウガッコウ,,,1504,,,401081,0015001,福岡県北九州市八幡東区大蔵一丁目4-1,福岡県,北九州市,八幡東区大蔵一丁目,4-1,,33.8658,130.8221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000000520,福岡県北九州市,枝光台中学校,エダミツダイチュウガッコウ,,,1504,,,401081,0006005,福岡県北九州市八幡東区枝光五丁目8-1,福岡県,北九州市,八幡東区枝光五丁目,8-1,,33.8824,130.8198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000000519,福岡県北九州市,高見中学校,タカミチュウガッコウ,,,1504,,,401081,0036004,福岡県北九州市八幡東区高見四丁目4-1,福岡県,北九州市,八幡東区高見四丁目,4-1,,33.871,130.839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000000518,福岡県北九州市,花尾中学校,ハナオチュウガッコウ,,,1504,,,401081,0065004,福岡県北九州市八幡東区桃園四丁目4-1,福岡県,北九州市,八幡東区桃園四丁目,4-1,,33.8611,130.7829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401005,000000000517,福岡県北九州市,二島中学校,フタジマチュウガッコウ,,,1504,,,401030,0078004,福岡県北九州市若松区二島四丁目5-1,福岡県,北九州市,若松区二島四丁目,5-1,,33.8962,130.7469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
